Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,250
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.97744e-03,0,-0.8
-1.97740e-03,0,0
-1.97736e-03,0,0
-1.97732e-03,0,0.8
-1.97728e-03,0,0
-1.97724e-03,0,0
-1.97720e-03,0,0
-1.97716e-03,0,0
-1.97712e-03,0,-0.8
-1.97708e-03,0,0
-1.97704e-03,0,0
-1.97700e-03,0,0
-1.97696e-03,0,0
-1.97692e-03,0,0
-1.97688e-03,0,0
-1.97684e-03,0,0
-1.97680e-03,0,-0.8
-1.97676e-03,0,0
-1.97672e-03,0,0
-1.97668e-03,0,0
-1.97664e-03,0,0
-1.97660e-03,0,0
-1.97656e-03,0,0
-1.97652e-03,0,0
-1.97648e-03,0,0
-1.97644e-03,0,0
-1.97640e-03,0,0
-1.97636e-03,0,0
-1.97632e-03,0,-0.8
-1.97628e-03,0,0
-1.97624e-03,0,0
-1.97620e-03,0,-0.8
-1.97616e-03,0,0
-1.97612e-03,0,0
-1.97608e-03,0,0
-1.97604e-03,0,0
-1.97600e-03,0,0
-1.97596e-03,0,0
-1.97592e-03,0,0
-1.97588e-03,0,0
-1.97584e-03,0,0
-1.97580e-03,0,0
-1.97576e-03,0,0
-1.97572e-03,0,0
-1.97568e-03,0,0
-1.97564e-03,0,0
-1.97560e-03,0,0
-1.97556e-03,0,0
-1.97552e-03,0,0
-1.97548e-03,0,0
-1.97544e-03,0.04,0
-1.97540e-03,0,0
-1.97536e-03,0,0
-1.97532e-03,0,0
-1.97528e-03,0,0
-1.97524e-03,0,0
-1.97520e-03,0,-0.8
-1.97516e-03,0,0
-1.97512e-03,0,-0.8
-1.97508e-03,0,0
-1.97504e-03,0,0
-1.97500e-03,0,0
-1.97496e-03,0,0
-1.97492e-03,0,-0.8
-1.97488e-03,0,0
-1.97484e-03,0,0
-1.97480e-03,0,0
-1.97476e-03,0,0
-1.97472e-03,0,-0.8
